2023-08-11 19:40:17.145 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-08-11 19:40:17.173 [restartedMain] INFO  c.c.creditcard.CreditcardApplication - Started CreditcardApplication in 10.442 seconds (process running for 11.883)
2023-08-11 19:40:24.724 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-08-11 19:40:24.725 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-08-11 19:40:24.733 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 7 ms
2023-08-11 19:40:24.819 [http-nio-8080-exec-1] INFO  c.c.c.c.TransactionController - Request received for all distinct states.
2023-08-11 19:40:27.106 [http-nio-8080-exec-1] INFO  c.c.c.c.TransactionController - Found 50 distinct states.
2023-08-11 19:40:36.274 [http-nio-8080-exec-2] INFO  c.c.c.c.TransactionController - Request received for all distinct cities.
2023-08-11 19:40:37.671 [http-nio-8080-exec-2] INFO  c.c.c.c.TransactionController - Found 727 distinct cities.
2023-08-11 19:40:39.331 [http-nio-8080-exec-3] INFO  c.c.c.c.TransactionController - Request received for all distinct cities.
2023-08-11 19:40:40.597 [http-nio-8080-exec-3] INFO  c.c.c.c.TransactionController - Found 727 distinct cities.
2023-08-11 19:40:42.021 [http-nio-8080-exec-4] INFO  c.c.c.c.TransactionController - Request received for all distinct cities.
2023-08-11 19:40:43.295 [http-nio-8080-exec-4] INFO  c.c.c.c.TransactionController - Found 727 distinct cities.
2023-08-11 19:40:46.086 [http-nio-8080-exec-5] INFO  c.c.c.c.TransactionController - Request received for all distinct cities.
2023-08-11 19:40:47.445 [http-nio-8080-exec-5] INFO  c.c.c.c.TransactionController - Found 727 distinct cities.
2023-08-11 19:40:50.043 [http-nio-8080-exec-6] INFO  c.c.c.c.TransactionController - Request received for all distinct cities.
2023-08-11 19:40:51.308 [http-nio-8080-exec-6] INFO  c.c.c.c.TransactionController - Found 727 distinct cities.
2023-08-11 19:43:00.369 [http-nio-8080-exec-9] INFO  c.c.c.c.TransactionController - Request received for all distinct cities.
2023-08-11 19:43:01.651 [http-nio-8080-exec-9] INFO  c.c.c.c.TransactionController - Found 727 distinct cities.
2023-08-11 19:43:04.424 [http-nio-8080-exec-10] INFO  c.c.c.c.TransactionController - Request received for all distinct cities.
2023-08-11 19:43:05.693 [http-nio-8080-exec-10] INFO  c.c.c.c.TransactionController - Found 727 distinct cities.
2023-08-11 19:43:07.761 [http-nio-8080-exec-1] INFO  c.c.c.c.TransactionController - Request received for all distinct cities.
2023-08-11 19:43:09.028 [http-nio-8080-exec-1] INFO  c.c.c.c.TransactionController - Found 727 distinct cities.
2023-08-11 19:43:11.284 [http-nio-8080-exec-2] INFO  c.c.c.c.TransactionController - Request received for all distinct cities.
2023-08-11 19:43:12.545 [http-nio-8080-exec-2] INFO  c.c.c.c.TransactionController - Found 727 distinct cities.
2023-08-11 19:43:21.149 [http-nio-8080-exec-3] INFO  c.c.c.c.TransactionController - Request received for all distinct states.
2023-08-11 19:43:22.066 [http-nio-8080-exec-3] INFO  c.c.c.c.TransactionController - Found 50 distinct states.
